Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
249000,000001A6,false,Rx,0,8,02,00,00,4B,63,80,00,05,
250000,00000097,false,Rx,0,8,80,60,20,01,FC,00,00,0C,
251000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,11,E7,05,18,11,E7,BD,24,
0,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
255000,0000018E,false,Rx,0,3,00,04,2B,00,00,00,00,00,
255000,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,36,
255000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
255000,0000013F,false,Rx,0,8,02,2E,02,3A,FF,F6,00,3E,
256000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,35,
256000,0000017C,false,Rx,0,8,00,00,05,65,48,00,00,35,
258000,00000156,false,Rx,0,6,00,01,00,03,07,01,00,00,
259000,00000097,false,Rx,0,8,80,60,20,01,FC,00,00,1B,
262000,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,11,EA,05,19,11,EA,BD,3C,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
0,0000018E,false,Rx,0,3,00,09,35,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,09,
265000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
0,0000013F,false,Rx,0,8,02,2E,02,3A,00,00,00,04,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
266000,0000017C,false,Rx,0,8,00,00,05,65,48,00,00,08,
0,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,0B,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,01,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,0F,00,
0,000001D0,false,Rx,0,8,24,5A,48,C0,91,D1,23,E2,
0,000001DC,false,Rx,0,4,02,05,65,2A,00,00,00,00,
267000,000001E7,false,Rx,0,4,1A,00,68,09,00,00,00,00,
268000,00000156,false,Rx,0,6,00,01,00,01,07,12,00,00,
268000,000001C0,false,Rx,0,7,00,00,10,00,00,00,19,00,
269000,000001A6,false,Rx,0,8,02,00,00,4B,63,80,00,14,
269000,00000294,false,Rx,0,8,00,15,00,03,FA,C4,20,14,
269000,00000097,false,Rx,0,8,80,60,20,01,FC,00,00,2A,
0,00000309,false,Rx,0,8,12,CC,00,00,00,30,00,59,
0,00000374,false,Rx,0,7,00,00,00,00,00,00,19,00,
270000,00000377,false,Rx,0,8,10,06,B5,74,CC,00,D2,1D,
270000,00000378,false,Rx,0,8,07,50,EA,16,40,20,00,14,
273000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
273000,00000158,false,Rx,0,8,11,E4,05,19,11,E4,BD,0B,
273000,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
275000,0000018E,false,Rx,0,3,00,04,0D,00,00,00,00,00,
275000,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,18,
275000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
275000,0000013F,false,Rx,0,8,02,35,02,3A,00,00,00,1B,
275000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
276000,0000017C,false,Rx,0,8,00,00,05,65,48,00,00,17,
278000,00000156,false,Rx,0,6,00,01,00,01,07,21,00,00,
279000,00000097,false,Rx,0,8,80,60,10,01,FB,00,00,3B,
0,00000158,false,Rx,0,8,11,E2,05,1A,11,E2,BD,1D,
0,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
284000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
285000,0000018E,false,Rx,0,3,00,01,1F,00,00,00,00,00,
286000,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,27,
286000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
286000,0000013F,false,Rx,0,8,02,35,02,39,00,14,00,26,
286000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,26,
286000,0000017C,false,Rx,0,8,00,00,05,67,48,00,00,24,
287000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,1A,
287000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,10,
287000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,1E,00,
0,000001D0,false,Rx,0,8,24,58,48,BC,92,09,23,0B,
0,000001DC,false,Rx,0,4,02,05,67,37,00,00,00,00,
288000,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
0,00000156,false,Rx,0,6,00,02,00,01,07,3F,00,00,
0,000001C0,false,Rx,0,7,00,00,10,00,00,00,28,00,
290000,000001A6,false,Rx,0,8,02,00,00,4B,63,80,00,23,
290000,00000097,false,Rx,0,8,80,60,10,01,FB,00,00,0E,
0,00000158,false,Rx,0,8,11,E2,05,17,11,E2,BD,2F,
0,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
295000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
295000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,35,
295000,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,36,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,02,37,02,39,00,00,00,38,
0,0000017C,false,Rx,0,8,00,00,05,67,48,00,00,33,
0,0000018E,false,Rx,0,3,00,04,2B,00,00,00,00,00,
296000,00000305,false,Rx,0,2,0E,11,00,00,00,00,00,00,
298000,00000156,false,Rx,0,6,00,02,00,01,07,02,00,00,
299000,00000097,false,Rx,0,8,80,60,20,01,FC,00,00,1B,
0,00000158,false,Rx,0,8,11,E2,05,17,11,E2,BD,3E,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
0,0000018E,false,Rx,0,3,00,00,3E,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,09,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
0,0000013F,false,Rx,0,8,02,37,02,39,00,14,00,06,
306000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
306000,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
306000,0000017C,false,Rx,0,8,00,00,05,69,48,00,00,04,
0,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,29,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,2F,
307000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,2D,00,
307000,000001D0,false,Rx,0,8,24,62,48,C4,92,31,23,39,
307000,000001DC,false,Rx,0,4,02,05,69,08,00,00,00,00,
307000,000001E7,false,Rx,0,4,1A,00,68,27,00,00,00,00,
307000,0000033D,false,Rx,0,4,01,40,00,2E,00,00,00,00,
0,00000156,false,Rx,0,6,00,02,00,00,07,12,00,00,
0,000001C0,false,Rx,0,7,00,00,10,00,00,00,37,00,
309000,000001A6,false,Rx,0,8,02,00,00,4B,63,80,00,32,
0,00000294,false,Rx,0,8,00,15,00,03,FA,C4,20,23,
0,00000097,false,Rx,0,8,80,60,20,01,FD,00,00,29,
0,00000158,false,Rx,0,8,11,E2,05,17,11,E2,BD,01,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
0,0000018E,false,Rx,0,3,00,00,01,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,18,
315000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
316000,0000013F,false,Rx,0,8,02,37,02,39,00,00,00,1A,
316000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
316000,0000017C,false,Rx,0,8,00,00,05,69,48,00,00,13,
317000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
319000,00000156,false,Rx,0,6,00,01,00,01,07,21,00,00,
0,00000097,false,Rx,0,8,80,60,10,01,FC,00,00,3A,
0,0000030C,false,Rx,0,8,13,51,4C,3C,01,60,90,00,
0,00000158,false,Rx,0,8,11,E1,05,18,11,E1,BD,11,
0,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
0,0000018E,false,Rx,0,3,00,05,1B,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,27,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
0,0000013F,false,Rx,0,8,02,38,02,3A,FF,CE,00,2F,
327000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,26,
0,0000017C,false,Rx,0,8,00,00,05,64,48,00,00,27,
0,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,38,
327000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,3E,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,3C,00,
0,000001D0,false,Rx,0,8,24,66,48,98,91,E1,22,95,
0,000001DC,false,Rx,0,4,02,05,64,1C,00,00,00,00,
0,000001E7,false,Rx,0,4,1A,00,68,36,00,00,00,00,
328000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
0,00000156,false,Rx,0,6,00,02,00,02,07,3E,00,00,
0,000001C0,false,Rx,0,7,00,00,10,00,00,00,0A,00,
0,000001A6,false,Rx,0,8,02,00,00,4A,64,80,00,05,
0,00000097,false,Rx,0,8,80,60,10,01,FD,00,00,0C,
0,00000158,false,Rx,0,8,11,E2,05,17,11,E2,BD,2F,
0,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
0,0000018E,false,Rx,0,3,00,0E,21,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,36,
335000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
336000,0000013F,false,Rx,0,8,02,38,02,3A,00,00,00,36,
336000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,35,
336000,0000017C,false,Rx,0,8,00,00,05,64,48,00,00,36,
