Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
487000,000006C1,false,Rx,0,1,05,00,00,00,00,00,00,00,
488000,0000018E,false,Rx,0,3,00,01,2E,00,00,00,00,00,
0,00000097,false,Rx,0,8,7F,E0,00,01,FC,00,00,08,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
494000,00000136,false,Rx,0,8,00,00,00,12,05,00,00,33,
494000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
494000,0000013F,false,Rx,0,8,01,21,01,1F,00,00,00,3D,
494000,0000017C,false,Rx,0,8,00,00,07,0B,48,00,00,33,
495000,0000033D,false,Rx,0,4,01,40,00,00,00,00,00,00,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,26,
0,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,37,
496000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,3D,
496000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,3C,00,
496000,000001D0,false,Rx,0,8,30,4C,60,68,C1,E1,83,C0,
0,00000156,false,Rx,0,6,FF,EF,00,00,07,28,00,00,
0,000001E7,false,Rx,0,4,1A,00,68,36,00,00,00,00,
0,00000158,false,Rx,0,8,17,B3,06,C0,17,B3,98,29,
0,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
0,00000305,false,Rx,0,2,0E,20,00,00,00,00,00,00,
499000,0000018E,false,Rx,0,3,00,01,3D,00,00,00,00,00,
503000,00000097,false,Rx,0,8,7F,DF,F0,01,FE,00,00,18,
504000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
504000,00000136,false,Rx,0,8,00,00,00,12,05,00,00,06,
504000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
504000,0000013F,false,Rx,0,8,01,22,01,1F,FF,EC,00,07,
504000,0000017C,false,Rx,0,8,00,00,07,09,48,00,00,08,
505000,000001DC,false,Rx,0,4,02,07,09,0C,00,00,00,00,
506000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,35,
506000,000001C0,false,Rx,0,7,00,00,10,00,00,00,19,00,
506000,00000156,false,Rx,0,6,FF,EF,00,01,07,36,00,00,
506000,000001A6,false,Rx,0,8,02,00,00,4D,58,80,00,1E,
506000,00000294,false,Rx,0,8,00,15,00,03,FA,C1,20,17,
0,00000158,false,Rx,0,8,17,B6,06,C1,17,B6,98,31,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
509000,0000018E,false,Rx,0,3,00,00,01,00,00,00,00,00,
513000,00000097,false,Rx,0,8,7F,DF,F0,01,FD,00,00,28,
515000,00000136,false,Rx,0,8,00,00,00,12,05,00,00,15,
515000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
0,0000013F,false,Rx,0,8,01,21,01,1E,00,1E,00,11,
0,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
515000,0000017C,false,Rx,0,8,00,00,07,0C,48,00,00,14,
516000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
516000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,0B,
516000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,01,
516000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,0F,00,
517000,00000156,false,Rx,0,6,FF,EF,00,00,07,0A,00,00,
517000,000001D0,false,Rx,0,8,30,2E,60,70,C1,A9,85,2B,
517000,000001E7,false,Rx,0,4,1A,00,68,09,00,00,00,00,
517000,0000030C,false,Rx,0,8,18,BF,26,46,01,60,90,22,
0,00000158,false,Rx,0,8,17,B8,06,C2,17,B8,98,0F,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
519000,0000018E,false,Rx,0,3,00,00,10,00,00,00,00,00,
522000,00000097,false,Rx,0,8,7F,DF,F0,01,FC,00,00,38,
0,00000136,false,Rx,0,8,00,00,00,12,05,00,00,24,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
525000,0000013F,false,Rx,0,8,01,21,01,1F,00,00,00,2E,
525000,0000017C,false,Rx,0,8,00,00,07,0C,48,00,00,23,
525000,000001DC,false,Rx,0,4,02,07,0C,18,00,00,00,00,
0,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
0,000001C0,false,Rx,0,7,00,00,10,00,00,00,28,00,
527000,00000156,false,Rx,0,6,FF,EF,00,00,07,19,00,00,
527000,000001A6,false,Rx,0,8,02,00,00,4C,57,80,00,2F,
0,00000158,false,Rx,0,8,17,B7,06,C0,17,B7,98,12,
0,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
528000,0000018E,false,Rx,0,3,00,03,2C,00,00,00,00,00,
533000,00000097,false,Rx,0,8,7F,E0,00,01,FB,00,00,09,
0,00000136,false,Rx,0,8,00,00,00,12,05,00,00,33,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,01,21,01,1E,00,00,00,3E,
534000,0000017C,false,Rx,0,8,00,00,07,0C,48,00,00,32,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,26,
0,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,1A,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,10,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,1E,00,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
0,00000156,false,Rx,0,6,FF,EF,00,00,07,28,00,00,
0,000001D0,false,Rx,0,8,30,16,60,68,C1,D1,84,9C,
0,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
537000,00000158,false,Rx,0,8,17,B5,06,BE,17,B5,98,28,
537000,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
539000,0000018E,false,Rx,0,3,00,01,3D,00,00,00,00,00,
543000,00000097,false,Rx,0,8,7F,DF,F0,01,FC,00,00,1A,
0,00000136,false,Rx,0,8,00,00,00,12,05,00,00,06,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
0,0000013F,false,Rx,0,8,01,21,01,1F,00,00,00,00,
0,0000017C,false,Rx,0,8,00,00,07,0C,48,00,00,05,
0,000001DC,false,Rx,0,4,02,07,0C,27,00,00,00,00,
546000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,35,
546000,000001C0,false,Rx,0,7,00,00,10,00,00,00,37,00,
546000,00000156,false,Rx,0,6,FF,EF,00,00,07,37,00,00,
547000,000001A6,false,Rx,0,8,02,00,00,4C,56,80,00,3F,
0,00000294,false,Rx,0,8,00,15,00,03,FA,C1,20,26,
0,00000158,false,Rx,0,8,17,B2,06,BE,17,B2,98,3D,
547000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
547000,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
549000,0000018E,false,Rx,0,3,00,02,0F,00,00,00,00,00,
552000,00000097,false,Rx,0,8,7F,DF,F0,01,FC,00,00,29,
554000,00000136,false,Rx,0,8,00,00,00,12,05,00,00,15,
554000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
554000,0000013F,false,Rx,0,8,01,21,01,1E,00,14,00,1B,
554000,0000017C,false,Rx,0,8,00,00,07,0E,48,00,00,12,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
0,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,29,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,2F,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,2D,00,
0,000001D0,false,Rx,0,8,30,20,60,54,C1,99,83,39,
